experiment,task,dataset,val_acc,test_acc,precision,recall,mean_iou,notes
C1,classification,STL10,57.9,58.08,,,,Simple CNN без аугментаций
C2,classification,STL10,61.8,58.41,,,,Simple CNN с аугментациями
C3,classification,STL10,94.8,57.31,,,,ResNet18 head-only (ошибка transforms)
C4,classification,STL10,96.0,95.19,,,,ResNet18 fine-tune (лучшая модель)
V1,segmentation,OxfordIIITPet,,,1.0,0.7832,0.7832,Базовая постобработка (threshold=0.5)
V2,segmentation,OxfordIIITPet,,,0.95,0.7829,0.7829,Удаление маленьких объектов (<500 пикселей)
